001	Acatic	23,175
002	Acatlán de Juárez	25,250
003	Ahualulco de Mercado	23,630
004	Amacueca	5,743
005	Amatitán	16,490
006	Ameca	60,386
007	San Juanito de Escobedo	9,433
008	Arandas	80,609
009	El Arenal	21,115
010	Atemajac de Brizuela	7,758
011	Atengo	5,599
012	Atenguillo	4,176
013	Atotonilco el Alto	64,009
014	Atoyac	8,689
015	Autlán de Navarro	64,931
016	Ayotlán	41,552
017	Ayutla	12,880
018	La Barca	67,937
019	Bolaños	7,043
020	Cabo Corrientes	10,940
021	Casimiro Castillo	20,548
022	Cihuatlán	40,139
023	Zapotlán el Grande	115,141
024	Cocula	29,267
025	Colotlán	19,689
026	Concepción de Buenos Aires	6,334
027	Cuautitlán de García Barragán	18,370
028	Cuautla	2,166
029	Cuquío	17,820
030	Chapala	55,196
031	Chimaltitán	3,270
032	Chiquilistlán	5,983
033	Degollado	21,226
034	Ejutla	1,981
035	Encarnación de Díaz	53,039
036	Etzatlán	20,011
037	El Grullo	25,920
038	Guachinango	4,199
039	Guadalajara	1,385,629
040	Hostotipaquillo	8,732
041	Huejúcar	5,920
042	Huejuquilla el Alto	10,015
043	La Huerta	23,258
044	Ixtlahuacán de los Membrillos	67,969
045	Ixtlahuacán del Río	20,465
046	Jalostotitlán	32,678
047	Jamay	24,894
048	Jesús María	18,982
049	Jilotlán de los Dolores	9,425
050	Jocotepec	47,105
051	Juanacatlán	30,855
052	Juchitlán	5,534
053	Lagos de Moreno	172,403
054	El Limón	5,368
055	Magdalena	21,781
056	Santa María del Oro	1,815
057	La Manzanilla de la Paz	4,099
058	Mascota	14,451
059	Mazamitla	14,043
060	Mexticacán	5,307
061	Mezquitic	22,083
062	Mixtlán	3,638
063	Ocotlán	106,050
064	Ojuelos de Jalisco	33,588
065	Pihuamo	11,386
066	Poncitlán	53,659
067	Puerto Vallarta	291,839
068	Villa Purificación	11,303
069	Quitupan	7,734
070	El Salto	232,852
071	San Cristóbal de la Barranca	2,924
072	San Diego de Alejandría	7,609
073	San Juan de los Lagos	72,230
074	San Julián	16,792
075	San Marcos	3,791
076	San Martín de Bolaños	3,095
077	San Martín Hidalgo	28,102
078	San Miguel el Alto	31,965
079	Gómez Farías	16,431
080	San Sebastián del Oeste	5,086
081	Santa María de los Ángeles	3,515
082	Sayula	37,186
083	Tala	87,690
084	Talpa de Allende	14,997
085	Tamazula de Gordiano	38,955
086	Tapalpa	21,245
087	Tecalitlán	16,705
088	Techaluta de Montenegro	4,072
089	Tecolotlán	16,603
090	Tenamaxtlán	7,302
091	Teocaltiche	39,839
092	Teocuitatlán de Corona	11,039
093	Tepatitlán de Morelos	150,190
094	Tequila	44,353
095	Teuchitlán	9,647
096	Tizapán el Alto	22,758
097	Tlajomulco de Zúñiga	727,750
098	San Pedro Tlaquepaque	687,127
099	Tolimán	11,219
100	Tomatlán	36,316
101	Tonalá	569,913
102	Tonaya	5,961
103	Tonila	7,565
104	Totatiche	4,180
105	Tototlán	23,573
106	Tuxcacuesco	5,482
107	Tuxcueca	6,702
108	Tuxpan	37,518
109	Unión de San Antonio	19,069
110	Unión de Tula	13,799
111	Valle de Guadalupe	6,627
112	Valle de Juárez	6,151
113	San Gabriel	16,548
114	Villa Corona	19,063
115	Villa Guerrero	5,525
116	Villa Hidalgo	20,088
117	Cañadas de Obregón	4,388
118	Yahualica de González Gallo	22,394
119	Zacoalco de Torres	30,472
120	Zapopan	1,476,491
121	Zapotiltic	33,713
122	Zapotitlán de Vadillo	7,466
123	Zapotlán del Rey	19,279
124	Zapotlanejo	64,806
125	San Ignacio Cerro Gordo	18,341
