NumMun,Zona,Municipio,Poblacion2010,Pobreza2010,Defunciones2010,Poblacion2015,Pobreza2015,Defunciones2015,Poblacion2020,Pobreza2020,Defunciones2020,TasaMort100k,HOSP1NIVEL,HOSP2NIVEL,HOSP3NIVEL,SMP,SumaHOSP,PoblacionHOSP2020,DefvsPobr2020,Medicos100kOCDE,Medicos100kJalisco,SuperficieKm2,DensiHabit2020
14001,Altos Sur,ACATIC,24050,11024,68,20311,7433,69,20644,6332,112,543,6,1,0,2,1,20644,177,62,79,339.2,60.86
14002,Lagunas,ACATLÁN DE JUÁREZ,16866,7176,75,23589,7526,61,27956,7923,124,444,5,0,0,0,0,0,157,84,108,153.27,182.4
14003,Valles,AHUALULCO DE MERCADO,18495,7971,96,19727,6519,85,22887,7517,123,537,8,0,0,1,0,0,164,69,88,274.09,83.5
14004,Lagunas,AMACUECA,6516,3621,35,5453,3330,31,5770,2656,28,485,2,0,0,0,0,0,105,17,22,125.2,46.09
14005,Valles,AMATITÁN,14471,6582,55,15640,6030,51,16745,6137,78,466,6,0,0,1,0,0,127,50,64,173.64,96.44
14006,Valles,AMECA,65895,28114,341,57661,21635,359,62128,21979,502,808,22,1,0,2,1,62128,228,187,239,837.81,74.16
14007,Valles,SAN JUANITO DE ESCOBEDO,9552,4636,28,9559,4962,39,9477,3860,54,570,6,0,0,0,0,0,140,28,36,194.48,48.73
14008,Altos Sur,ARANDAS,74615,37332,301,79733,33392,330,79688,27061,402,504,11,9,0,9,9,8854,149,239,306,1150.51,69.26
14009,Valles,EL ARENAL,17193,8229,48,21060,6290,59,20621,6377,105,509,9,0,0,1,0,0,165,62,79,103.99,198.3
14010,Lagunas,ATEMAJAC DE BRIZUELA,7282,5568,28,6815,5283,30,7794,5706,37,475,3,0,0,0,0,0,65,23,30,355.5,21.92
14011,Sierra de Amula,ATENGO,6446,4965,30,5548,3256,33,5625,2765,45,800,3,0,0,0,0,0,163,17,22,441.07,12.75
14012,Costa Sierra Occidental,ATENGUILLO,5166,1654,47,3957,1100,34,4196,732,33,786,5,0,0,0,0,0,451,13,16,610.8,6.87
14013,Ciénega,ATOTONILCO EL ALTO,64503,29320,273,58024,23879,247,56994,19596,335,588,15,4,0,5,4,14249,171,171,219,510.97,111.54
14014,Lagunas,ATOYAC,7994,4370,44,8386,5625,44,8730,3866,56,641,4,0,0,0,0,0,145,26,34,451.17,19.35
14015,Sierra de Amula,AUTLÁN DE NAVARRO,60570,23273,505,62966,23727,585,62535,19668,801,1281,19,2,0,2,2,31268,407,188,241,705.94,88.58
14016,Ciénega,AYOTLÁN,39943,24582,140,32726,18409,139,42119,21990,224,532,10,0,0,0,0,0,102,126,162,431.04,97.71
14017,Sierra de Amula,AYUTLA,13998,8577,65,10662,5771,63,10983,4849,98,892,11,0,0,0,0,0,202,33,42,883.8,12.43
14018,Ciénega,LA BARCA,60980,36169,480,54601,24037,585,57215,23585,737,1288,22,3,0,3,3,19072,312,172,220,418.21,136.81
14019,Norte,BOLAÑOS,6779,4472,18,7449,4679,36,7076,3874,18,254,13,0,0,0,0,0,46,21,27,866.75,8.16
14020,Costa Sierra Occidental,CABO CORRIENTES,9744,6919,40,12304,5734,40,10870,4847,70,644,7,0,0,0,0,0,144,33,42,1540.62,7.06
14021,Costa Sur,CASIMIRO CASTILLO,24020,10828,85,22691,10774,93,19798,7969,126,636,8,1,0,0,1,19798,158,59,76,522.5,37.89
